Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,Rent
Builder Floors,2,2,Unfurnished,1000,0,East,2,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,1500,3300,East,9,"₹ 20,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,2,Unfurnished,100,1,1st Floor for rent,1,"₹ 9,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,3,Semi-Furnished,1100,600,North-East,3,"₹ 14,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,120,2400,A star realtors,14,"₹ 14,000"
Builder Floors,3,2,Unfurnished,900,1,Denny Xavier,1,"₹ 15,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,3,Semi-Furnished,1200,0,North-West,1,"₹ 12,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Furnished,2300,0,South,1,"₹ 20,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,950,3000,North-East,20,"₹ 14,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,650,500,South-East,2,"₹ 10,000"
Houses & Villas,2,2,Semi-Furnished,750,250,North-East,3,"₹ 9,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,2,Semi-Furnished,1000,3500,South,1,"₹ 3,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,101,500,A star realtors,3,"₹ 12,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,2,Unfurnished,950,0,East,1,"₹ 7,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1000,2300,East,09,"₹ 15,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,4+,4+,Unfurnished,2500,3,"Suitable Space for Dental Clinic/ayurvedic hospitals,Offices, etc",123,"₹ 1,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,2,2,Unfurnished,650,10,North,2,"₹ 9,000"
Houses & Villas,3,3,Semi-Furnished,1000,3,House for rent @ Kowdiar,2,"₹ 13,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,1100,1500,North,3,"₹ 11,500"
Apartments,2,2,Furnished,970,2000,Branded Society,19,"₹ 18,000"
Apartments,2,2,Semi-Furnished,850,2000,Branded Society,11,"₹ 13,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1300,2500,Dd Diamond Valley,15,"₹ 13,500"
Houses & Villas,2,2,Semi-Furnished,950,0,North,1,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,2000,2,Real peace rental apartments,2,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1000,11000,North,2,"₹ 11,000"
Houses & Villas,4,4,Unfurnished,1800,0,Kalathode krishnapuram,2,"₹ 24,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,2,Unfurnished,600,1,Lease agreement,1,"₹ 2,50,000"
Houses & Villas,1,1,Semi-Furnished,500,250,North-East,4,"₹ 7,000"
Apartments,2,2,Unfurnished,1100,1000,East,3,"₹ 9,000"
Apartments,2,2,Furnished,1050,1750,North-East,10,"₹ 20,000"
Houses & Villas,3,3,Semi-Furnished,1300,15000,East,1,"₹ 15,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1600,0,East,2,"₹ 13,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Furnished,658,1000,A star realtors,17,"₹ 17,000"
Apartments,3,3,Furnished,796,2000,A star realtors,17,"₹ 20,000"
Apartments,3,2,Furnished,200,4000,A star realtors,19,"₹ 22,000"
Houses & Villas,2,1,Semi-Furnished,650,250,North-East,4,"₹ 10,000"
Apartments,1,1,Furnished,150,5000,Shon villa,1,"₹ 5,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Unfurnished,1350,4,Meridian Saj,2,"₹ 19,000"
Houses & Villas,3,3,Furnished,2000,100,East,2,"₹ 25,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Furnished,1850,2600,East,18,"₹ 18,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,3,Semi-Furnished,500,2000,North-West,1,"₹ 2,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,4,4,Furnished,1800,2500,East,10,"₹ 15,000"
Apartments,2,2,Semi-Furnished,1450,2800,East,17,"₹ 17,000"
Apartments,3,3,Unfurnished,1200,0,North,3,"₹ 13,000"
Houses & Villas,2,2,Semi-Furnished,800,11,South,1,"₹ 6,000"
Apartments,2,2,Furnished,1250,2000,East,15,"₹ 18,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Furnished,100,100,East,1,"₹ 3,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,2,Semi-Furnished,1800,2,House,2,"₹ 13,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,420,0,West,2,"₹ 11,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1500,0,North-West,14,"₹ 17,000"
Houses & Villas,3,3,Furnished,1900,0,North-West,2,"₹ 20,000"
Apartments,1,1,Semi-Furnished,1000,7500,North-East,6,"₹ 7,500"
Houses & Villas,4,4,Unfurnished,1300,0,independant house in safe residential area,2,"₹ 15,000"
Apartments,1,1,Semi-Furnished,230,0,East,3,"₹ 6,500"
Houses & Villas,3,3,Unfurnished,1400,0,West,1,"₹ 8,500"
Apartments,3,3,Furnished,2200,2500,East,5,"₹ 35,000"
Builder Floors,2,1,Semi-Furnished,100,200,North-East,3,"₹ 7,000"
Apartments,3,3,Furnished,1960,2500,East,1,"₹ 30,000"
Apartments,3,3,Furnished,1250,2500,East,10,"₹ 25,000"
Apartments,2,2,Semi-Furnished,850,3000,East,15,"₹ 17,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Unfurnished,900,1,House,1,"₹ 11,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1000,250,North,2,"₹ 12,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,600,0,East,3,"₹ 7,500"
Houses & Villas,2,2,Furnished,1100,20000,East,2,"₹ 20,000"
Apartments,3,3,Furnished,2200,2500,South,5,"₹ 35,000"
Houses & Villas,2,2,Semi-Furnished,1200,0,North-East,2,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,100,100,East,2,"₹ 9,000"
Apartments,2,2,Semi-Furnished,100,100,East,2,"₹ 11,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,3,Furnished,800,50,East,2,"₹ 5,000"
Houses & Villas,1,1,Furnished,600,0,East,2,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,2,Unfurnished,1000,600,East,3,"₹ 12,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1250,150,West,1,"₹ 11,000"
Apartments,1,1,Furnished,511,1010,Abacus,12,"₹ 1,500"
Houses & Villas,3,3,Furnished,1500,0,West,2,"₹ 4,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Furnished,200,150,South,3,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,1100,0,North,4,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Furnished,520,400,East,8,"₹ 11,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1100,1700,South-East,4,"₹ 16,000"
Apartments,1,1,Semi-Furnished,400,0,North-East,4,"₹ 5,000"
Apartments,1,1,Semi-Furnished,9,1,Tushar Chaudhary,1,"₹ 4,000"
Houses & Villas,2,1,Unfurnished,0,0,North-East,0,"₹ 9,000"
Houses & Villas,1,1,Furnished,80,5000,East,2,"₹ 5,000"
Apartments,2,2,Semi-Furnished,0,0,North-East,0,"₹ 15,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,4,1,Furnished,12000,14000,North,2,"₹ 14,000"
Builder Floors,2,1,Unfurnished,1000,0,East,3,"₹ 5,500"
Apartments,2,2,Semi-Furnished,960,2000,East,19,"₹ 8,500"
Apartments,2,2,Semi-Furnished,960,2000,East,19,"₹ 8,500"
Houses & Villas,3,1,Furnished,900,0,East,2,"₹ 10,000"
Apartments,3,2,Semi-Furnished,1080,2500,shri radha sky garden,19,"₹ 10,000"
Apartments,2,2,Semi-Furnished,960,2000,North-East,19,"₹ 8,500"
Apartments,2,2,Semi-Furnished,1180,2500,North-East,19,"₹ 9,500"
Houses & Villas,2,1,Unfurnished,1000,5500,East,3,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,400,500,North-West,7,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1040,2000,North-East,19,"₹ 8,500"
Apartments,2,2,Semi-Furnished,960,2000,East,19,"₹ 8,500"
Apartments,3,2,Semi-Furnished,1140,2500,East,19,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,960,2000,North-East,19,"₹ 8,500"
Apartments,3,2,Semi-Furnished,1080,2500,East,20,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,1200,5500,East,3,"₹ 5,500"
Apartments,2,2,Unfurnished,940,2000,East,19,"₹ 6,500"
Builder Floors,1,1,Furnished,480,5800,South-East,2,"₹ 5,800"
Builder Floors,2,1,Furnished,450,0,East,4,"₹ 7,000"
Houses & Villas,1,1,Unfurnished,216,0,North-West,1,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,143,1500,East,14,"₹ 6,000"
Apartments,1,1,Furnished,300,1,North-East,5,"₹ 9,999"
Apartments,4,4,Semi-Furnished,2000,4000,North-East,18,"₹ 18,000"
Apartments,1,1,Furnished,350,1900,East,33,"₹ 14,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1300,0,North,2,"₹ 15,000"
Apartments,2,2,Semi-Furnished,995,1500,East,22,"₹ 5,000"
Houses & Villas,1,1,Unfurnished,1000,00,North,1,"₹ 2,500"
Houses & Villas,3,3,Furnished,1170,1350,North-East,2,"₹ 12,000"
Apartments,2,2,Semi-Furnished,1040,2000,North-East,16,"₹ 7,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,1800,0,East,2,"₹ 7,000"
Houses & Villas,2,2,Unfurnished,1000,00,East,03,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,2,Semi-Furnished,1000,00,East,2,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,10,2300,East,1,"₹ 2,400"
Builder Floors,2,1,Unfurnished,800,7500,South,1,"₹ 7,500"
Builder Floors,1,1,Furnished,260,200,East,4,"₹ 6,000"
Houses & Villas,1,1,Semi-Furnished,450,00,East,3,"₹ 6,500"
Houses & Villas,2,1,Unfurnished,400,0,West,2,"₹ 8,000"
Houses & Villas,2,1,Furnished,1000,500,East,2,"₹ 5,000"
Houses & Villas,1,1,Furnished,250,200,North-East,2,"₹ 9,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,1100,1500,Ravi Properties Sunderpur,5,"₹ 15,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,2,Semi-Furnished,1450,2500,Ravi Properties Sunderpur,7,"₹ 17,000"
Apartments,3,2,Unfurnished,1245,2000,Ravi Properties Sunderpur,5,"₹ 14,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,2,1,Unfurnished,800,3,Ravi Properties Sunderpur,2,"₹ 8,000"
Apartments,2,2,Unfurnished,900,1200,Ravi Properties Sunderpur,4,"₹ 11,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,3,1,Unfurnished,1200,3,Ravi Properties Sunderpur,1,"₹ 13,000"
Houses & Villas,3,1,Unfurnished,1350,2,Ravi Properties Sunderpur,2,"₹ 12,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,2,Semi-Furnished,1250,1000,North-East,2,"₹ 17,500"
Apartments,1,1,Furnished,305,100,North,2,"₹ 5,000"
Houses & Villas,3,2,Unfurnished,1650,3,Ravi Properties Sunderpur,1,"₹ 15,000"
Apartments,3,1,Unfurnished,1200,10000,East,3,"₹ 10,000"
Builder Floors,2,2,Furnished,900,4,House,3,"₹ 20,000"
Builder Floors,3,3,Furnished,1200,3,House,2,"₹ 40,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,2,1,Unfurnished,976,0,East,1,"₹ 7,000"
Apartments,3,3,Semi-Furnished,1400,3500,East,17,"₹ 10,000"
Builder Floors,2,2,Unfurnished,557,0,East,4,"₹ 6,000"
Apartments,2,1,Unfurnished,10,6000,West,11,"₹ 6,000"
Houses & Villas,2,1,Unfurnished,1000,2,24 transport facility,1,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Furnished,400,3,Aditya mishra,0,"₹ 4,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,600,150,North,1,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1100,100,East,2,"₹ 11,000"
Houses & Villas,2,1,Semi-Furnished,4000,00,East,2,"₹ 7,500"
Apartments,2,2,Semi-Furnished,1100,1400,"Kendriya Vihar, next to Shagun farm house",5,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Furnished,340,10,East,2,"₹ 7,500"
Apartments,2,2,Semi-Furnished,1100,1400,"Kendriya Vihar apartments, next to Shagun Farm house",5,"₹ 7,000"
Houses & Villas,1,1,Furnished,161,8000,East,2,"₹ 8,000"
Houses & Villas,1,1,Furnished,200,1,Male room partner jo ki 18 se 22 sal Tak Ho,2,"₹ 1,300"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Furnished,150,400,West,2,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,800,0,North-East,2,"₹ 6,500"
Apartments,1,1,Furnished,400,2500,North,19,"₹ 15,000"
Apartments,1,4+,Furnished,42,1,Rentpr dena hai hollsell wale lobi ke liye cl kre upr room separate h,1,"₹ 3,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,500,220,South-East,2,"₹ 8,000"
Houses & Villas,4,3,Furnished,2100,0,North,1,"₹ 15,000"
Builder Floors,2,1,Semi-Furnished,900,200,North-West,2,"₹ 7,000"
Apartments,1,1,Semi-Furnished,650,00,East,3,"₹ 2,200"
Houses & Villas,2,1,Semi-Furnished,000,50,North-East,3,"₹ 5,500"
Houses & Villas,2,1,Semi-Furnished,600,10000,West,1,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,400,3000,South,0,"₹ 3,000"
Builder Floors,2,2,Semi-Furnished,1200,0,North-East,3,"₹ 9,000"
Houses & Villas,2,2,Semi-Furnished,900,1000,West,1,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,400,2500,East,19,"₹ 14,000"
Apartments,3,2,Semi-Furnished,1050,1,North-East,20,"₹ 13,500"
Apartments,2,2,Semi-Furnished,980,1,North-West,21,"₹ 11,000"
Apartments,2,2,Semi-Furnished,1000,1,North-East,20,"₹ 12,000"
Apartments,2,2,Semi-Furnished,980,1,North-East,21,"₹ 12,000"
Houses & Villas,2,2,Semi-Furnished,1300,6500,East,2,"₹ 6,500"
Houses & Villas,1,1,Semi-Furnished,200,3700,East,1,"₹ 3,700"
Builder Floors,1,1,Furnished,300,5,Neraj property,1,"₹ 5,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Unfurnished,1000,2,Room for rent,1,"₹ 8,500"
Houses & Villas,2,1,Semi-Furnished,750,200,East,2,"₹ 8,000"
Houses & Villas,4+,4,Semi-Furnished,2700,0000,North-East,1,"₹ 25,000"
Houses & Villas,1,1,Furnished,200,5000,Sandy,2,"₹ 5,000"
Builder Floors,3,2,Semi-Furnished,1100,700,East,3,"₹ 14,000"
Apartments,3,3,Furnished,1750,2000,North-East,10,"₹ 35,000"
Builder Floors,3,3,Semi-Furnished,1300,3,Janta buildtech pvt . Ltd,1,"₹ 15,000"
Houses & Villas,2,1,Semi-Furnished,720,200,West,1,"₹ 10,000"
Apartments,2,2,Semi-Furnished,750,2000,North-East,20,"₹ 8,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Unfurnished,900,650,North-East,2,"₹ 4,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Furnished,20,100,North,1,"₹ 2,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Furnished,1000,2,Ashu Barqi,1,"₹ 14,000"
Apartments,2,2,Furnished,900,14000,East,3,"₹ 14,000"
Apartments,2,2,Furnished,630,1500,North-East,14,"₹ 12,000"
Apartments,3,3,Furnished,1300,1500,North-West,6,"₹ 25,000"
Houses & Villas,1,1,Furnished,500,500,North,4,"₹ 10,500"
Houses & Villas,1,1,Furnished,300,5000,South,1,"₹ 5,000"
Houses & Villas,2,1,Semi-Furnished,600,8000,South-East,0,"₹ 8,000"
Houses & Villas,2,1,Furnished,700,00,North-East,2,"₹ 6,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,3,2,Semi-Furnished,1100,500,West,3,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,250,4000,North,3,"₹ 4,000"
Houses & Villas,4+,4+,Semi-Furnished,2000,2,Ashiana Colony,0,"₹ 55,000"
Apartments,1,1,Semi-Furnished,700,400,North-East,4,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,1,Furnished,550,500,South-East,2,"₹ 12,000"
Apartments,2,2,Semi-Furnished,880,2500,North,14,"₹ 9,500"
Apartments,2,2,Semi-Furnished,910,500,North-East,5,"₹ 8,500"
Houses & Villas,3,2,Semi-Furnished,1200,1,House for rent,1,"₹ 10,000"
Houses & Villas,4+,4+,Furnished,4523,5500,North-East,2,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,15,1000,South-East,2,"₹ 7,000"
Builder Floors,2,2,Semi-Furnished,1300,00,East,3,"₹ 10,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,3,3,Semi-Furnished,1700,00,East,3,"₹ 13,000"
Builder Floors,1,1,Furnished,200,4,Single Room For Rent,3,"₹ 4,500"
Apartments,2,2,Semi-Furnished,900,0,Logix blossom zest sector 143 noida,20,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,800,7500,West,2,"₹ 7,500"
Apartments,3,3,Semi-Furnished,1300,1,North-East,22,"₹ 16,500"
Apartments,2,2,Furnished,875,1,East,20,"₹ 14,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,4,Semi-Furnished,1500,3500,North-East,14,"₹ 15,000"
Apartments,2,2,Semi-Furnished,890,1890,North-West,14,"₹ 8,000"
Houses & Villas,2,2,Semi-Furnished,1180,500,South,2,"₹ 9,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,1200,500,North-East,1,"₹ 10,000"
Apartments,3,2,Semi-Furnished,1100,1,North-East,20,"₹ 14,000"
Houses & Villas,1,1,Furnished,400,0,West,2,"₹ 2,500"
Apartments,2,2,Semi-Furnished,900,3200,Cloud 9 Indirapuram,24,"₹ 14,000"
Houses & Villas,2,1,Semi-Furnished,800,10000,East,2,"₹ 10,000"
Houses & Villas,2,1,Furnished,550,500,North-East,2,"₹ 11,000"
Houses & Villas,2,1,Semi-Furnished,1000,1,Kusum Villa,1,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1000,0,North-West,4,"₹ 11,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,410,500,North-East,4,"₹ 8,000"
Houses & Villas,2,1,Unfurnished,800,0,East,0,"₹ 16,000"
Houses & Villas,2,1,Furnished,800,0,North-East,1,"₹ 7,000"
Builder Floors,2,1,Unfurnished,800,0,South,2,"₹ 6,000"
Houses & Villas,1,1,Unfurnished,1000,000,East,2,"₹ 6,500"
Houses & Villas,2,1,Semi-Furnished,1550,200,South-East,2,"₹ 8,000"
Apartments,1,1,Unfurnished,110,0,East,2,"₹ 4,000"
Houses & Villas,1,1,Semi-Furnished,50,0,South-East,2,"₹ 4,999"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,1400,500,West,0,"₹ 7,000"
Builder Floors,2,3,Furnished,120,100,East,2,"₹ 6,500"
Houses & Villas,2,1,Semi-Furnished,480,0,North-East,1,"₹ 7,000"
Houses & Villas,2,1,Semi-Furnished,900,0,East,2,"₹ 8,500"
Apartments,1,1,Furnished,1450,00,East,3500,"₹ 3,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,400,400,North-East,2,"₹ 8,500"
Apartments,2,2,Furnished,700,0,North-East,18,"₹ 25,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,350,1900,East,33,"₹ 14,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1250,0,East,2,"₹ 14,000"
Houses & Villas,2,1,Semi-Furnished,1000,7500,East,1,"₹ 7,500"
Apartments,2,1,Unfurnished,950,0,South-East,1,"₹ 8,000"
Houses & Villas,2,1,Unfurnished,150,150,North,1,"₹ 6,000"
Builder Floors,4+,4+,Semi-Furnished,1650,500,South-East,2,"₹ 30,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,20,0,East,3,"₹ 1,700"
Houses & Villas,2,1,Semi-Furnished,400,00,South-West,2,"₹ 4,500"
Houses & Villas,2,2,Unfurnished,765,0,North,1,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Furnished,100,0,North-East,1,"₹ 2,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Furnished,600,2,Lda Housing,2,"₹ 12,500"
Houses & Villas,2,1,Furnished,2700,500,East,2,"₹ 9,000"
Apartments,1,1,Semi-Furnished,510,500,North-East,5,"₹ 6,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
